,TARGET,DerogCnt,CollectCnt,BanruptcyInd,InqCnt06,InqTimeLast,InqFinanceCnt24,TLTimeFirst,TLTimeLast,TLCnt03,TLCnt12,TLCnt24,TLCnt,TLSatCnt,TLDel60Cnt,TLBadCnt24,TL75UtilCnt,TL50UtilCnt,TLDel3060Cnt24,TLDel90Cnt24,TLDel60CntAll,TLBadDerogCnt,TLDel60Cnt24
0,1,3,3,0,4,0.0,5,117,27,0,0,0,5.0,16.0,2,1,3.0,3.0,2,3,7,4,4
1,1,15,9,0,3,1.0,3,14,14,0,0,1,1.0,1.0,0,0,1.0,1.0,0,0,0,12,0
2,1,0,0,0,1,5.0,1,354,7,0,2,10,19.0,21.0,1,1,4.0,5.0,0,1,1,1,1
3,1,8,5,0,6,1.0,10,16,4,0,2,4,3.0,1.0,1,0,2.0,3.0,1,1,1,7,1
4,1,3,1,0,9,0.0,8,130,52,0,0,0,1.0,3.0,4,1,1.0,1.0,0,1,4,3,1
5,1,1,1,1,2,2.0,0,124,3,1,4,5,5.0,5.0,2,0,4.0,4.0,0,0,2,0,0
6,1,0,0,0,1,3.0,1,148,10,0,2,6,14.0,24.0,0,0,7.0,9.0,3,0,0,0,0
7,1,3,2,0,5,1.0,3,124,2,1,4,6,7.0,12.0,0,0,4.0,4.0,2,0,2,1,1
8,1,1,1,0,2,0.0,3,286,6,0,2,6,6.0,5.0,6,2,3.0,4.0,1,5,6,5,5
9,1,0,0,0,0,15.0,0,175,25,0,0,0,10.0,17.0,1,0,4.0,5.0,1,0,1,0,0
10,1,2,2,0,5,0.0,6,177,8,0,1,7,9.0,19.0,1,1,4.0,7.0,3,1,2,2,2
11,1,8,7,0,0,23.0,1,129,16,0,0,2,3.0,1.0,2,2,3.0,3.0,0,2,2,9,2
12,1,1,0,1,8,1.0,6,168,7,0,1,4,6.0,9.0,16,0,3.0,4.0,3,2,18,2,4
13,1,0,0,0,1,6.0,2,129,8,0,1,3,14.0,23.0,0,0,4.0,7.0,3,0,0,0,0
14,1,6,3,0,1,0.0,0,59,8,0,2,3,3.0,4.0,2,1,2.0,2.0,0,1,2,4,1
15,1,2,2,0,8,1.0,9,96,3,1,1,1,1.0,3.0,2,2,1.0,1.0,0,2,2,3,2
16,1,2,2,0,2,0.0,4,248,7,0,3,7,14.0,28.0,0,0,7.0,9.0,2,0,1,2,1
17,1,0,0,0,8,1.0,10,124,4,0,6,9,12.0,22.0,0,0,8.0,9.0,1,0,2,0,0
18,1,4,4,0,13,1.0,27,42,2,1,2,3,3.0,3.0,1,0,2.0,2.0,0,0,1,4,0
19,1,1,0,0,4,1.0,2,93,20,0,0,2,19.0,24.0,2,2,7.0,7.0,3,4,6,4,5
20,1,0,0,0,3,0.0,2,446,9,0,2,9,26.0,33.0,0,0,5.0,7.0,3,0,0,0,0
21,1,0,0,0,1,2.0,1,337,11,0,2,4,17.0,14.0,0,0,9.0,12.0,3,0,1,0,0
22,1,1,1,0,1,1.0,0,134,3,1,3,7,16.0,18.0,0,0,9.0,11.0,3,0,0,0,0
23,1,5,3,0,4,1.0,11,89,3,1,3,6,7.0,14.0,0,0,4.0,5.0,2,1,2,6,2
24,1,0,0,0,4,2.0,3,118,11,0,1,1,2.0,4.0,1,1,2.0,2.0,0,1,1,1,1
25,1,0,0,0,10,1.0,3,87,3,1,2,4,11.0,13.0,0,0,4.0,7.0,2,0,1,0,1
26,1,4,1,1,2,0.0,5,201,22,0,0,1,1.0,2.0,1,0,0.0,0.0,0,0,2,1,0
27,1,3,1,0,4,1.0,3,234,30,0,0,0,5.0,6.0,3,2,3.0,4.0,2,4,5,5,5
28,1,5,5,0,0,8.0,0,118,4,0,6,7,8.0,11.0,3,1,5.0,6.0,0,2,4,4,2
29,1,0,0,0,1,1.0,0,74,35,0,0,0,4.0,4.0,3,2,2.0,2.0,2,4,7,4,5
30,1,3,2,0,0,11.0,0,90,9,0,1,3,3.0,8.0,2,1,2.0,2.0,2,2,4,3,3
31,1,4,2,1,3,3.0,2,221,3,1,1,1,3.0,9.0,5,2,1.0,2.0,0,2,5,3,2
32,1,1,1,0,2,1.0,4,206,21,0,0,1,1.0,7.0,1,0,,,0,0,3,1,0
33,1,1,1,0,4,1.0,5,152,11,0,1,1,3.0,2.0,2,0,2.0,2.0,2,1,2,1,2
34,1,0,0,0,1,6.0,4,102,25,0,0,0,14.0,17.0,3,2,9.0,11.0,3,4,4,4,4
35,1,0,0,0,3,0.0,1,90,16,0,0,2,3.0,3.0,2,0,1.0,3.0,0,0,2,0,0
36,1,0,0,0,5,1.0,3,216,8,0,2,2,19.0,30.0,0,0,11.0,12.0,0,0,0,0,0
37,1,2,1,1,0,8.0,2,156,6,0,1,1,3.0,2.0,2,1,2.0,2.0,3,1,3,2,1
38,1,0,0,0,1,3.0,6,165,27,0,0,0,8.0,2.0,10,8,4.0,5.0,2,9,11,9,10
39,1,1,1,0,2,1.0,1,138,6,0,1,5,10.0,18.0,0,0,7.0,8.0,3,0,2,1,1
40,1,8,5,1,4,2.0,7,139,7,0,2,3,5.0,0.0,11,5,3.0,3.0,2,5,11,10,6
41,1,0,0,0,7,0.0,9,51,2,3,6,10,12.0,14.0,1,1,6.0,9.0,1,1,1,1,1
42,1,2,2,0,0,17.0,0,414,46,0,0,0,1.0,10.0,1,0,1.0,1.0,0,1,3,2,1
43,1,1,1,0,7,0.0,2,105,27,0,0,0,3.0,10.0,2,1,1.0,2.0,0,1,4,2,1
44,1,1,1,0,2,2.0,3,126,1,2,3,9,6.0,10.0,0,0,4.0,4.0,3,0,1,0,1
45,1,1,0,1,5,1.0,13,236,9,0,3,8,12.0,22.0,16,2,4.0,5.0,0,2,16,2,2
46,1,0,0,0,0,,0,96,3,1,1,1,4.0,17.0,1,0,2.0,2.0,0,1,1,1,1
47,1,1,1,0,1,1.0,2,54,2,1,2,2,4.0,1.0,3,1,4.0,4.0,0,3,3,3,3
48,1,0,0,0,13,2.0,21,71,3,1,8,15,16.0,36.0,3,0,12.0,14.0,3,1,4,1,4
49,1,0,0,0,3,4.0,2,118,6,0,5,8,5.0,10.0,0,0,3.0,3.0,2,0,1,0,1
50,1,0,0,0,0,8.0,0,107,5,0,2,4,4.0,7.0,0,0,2.0,2.0,3,0,2,0,2
51,1,3,3,0,4,1.0,3,142,11,0,1,1,5.0,7.0,9,7,2.0,3.0,0,7,9,9,7
52,1,0,0,0,4,0.0,7,160,3,1,7,12,11.0,20.0,0,0,6.0,6.0,3,0,4,0,1
53,1,1,0,0,1,5.0,0,90,17,0,0,1,2.0,2.0,0,0,1.0,1.0,0,1,1,2,1
54,1,2,2,0,0,,0,117,37,0,0,0,2.0,4.0,1,0,0.0,0.0,0,1,2,3,1
55,1,0,0,0,1,3.0,0,161,16,0,0,7,11.0,21.0,2,2,3.0,6.0,0,2,3,2,2
56,1,0,0,0,0,,0,7,7,0,1,1,1.0,0.0,1,0,,,2,0,1,0,1
57,1,2,2,0,2,2.0,2,102,10,0,1,3,4.0,3.0,7,5,3.0,3.0,0,5,7,7,5
58,1,1,1,0,16,1.0,15,246,16,0,0,4,12.0,16.0,1,0,5.0,7.0,0,2,2,2,2
59,1,8,8,0,7,3.0,27,35,4,0,6,14,4.0,12.0,1,1,3.0,3.0,0,1,1,5,1
60,1,1,1,0,8,1.0,6,113,4,0,6,8,8.0,15.0,0,0,8.0,8.0,3,1,5,2,2
61,1,0,0,0,0,12.0,1,181,12,0,1,7,11.0,13.0,0,0,6.0,7.0,0,0,1,0,0
62,1,0,0,0,6,1.0,6,258,6,0,2,5,7.0,8.0,0,0,4.0,4.0,3,0,0,0,0
63,1,0,0,0,9,1.0,30,112,15,0,0,5,8.0,16.0,2,2,5.0,7.0,0,2,2,2,2
64,1,8,4,1,0,9.0,5,126,4,0,2,5,4.0,7.0,4,1,3.0,3.0,0,1,5,5,1
65,1,2,2,0,3,1.0,5,220,14,0,0,4,4.0,6.0,2,2,2.0,3.0,2,2,4,3,3
66,1,3,1,1,10,0.0,18,102,16,0,0,5,6.0,8.0,2,0,1.0,4.0,3,1,3,2,2
67,1,0,0,0,5,0.0,13,119,2,1,8,13,14.0,18.0,2,0,9.0,12.0,0,1,3,1,1
68,1,0,0,0,0,7.0,0,61,29,0,0,0,2.0,1.0,4,2,2.0,2.0,0,2,3,2,2
69,1,5,4,1,3,1.0,4,410,8,0,3,6,3.0,9.0,2,1,3.0,3.0,0,1,3,1,1
70,1,5,1,0,5,3.0,8,168,4,0,5,5,7.0,9.0,7,4,3.0,3.0,3,5,10,7,7
71,1,1,0,1,7,1.0,13,159,4,0,2,2,5.0,6.0,4,3,3.0,5.0,0,3,6,3,3
72,1,6,0,1,4,1.0,5,87,10,0,2,2,1.0,1.0,6,1,1.0,1.0,0,1,7,2,1
73,1,0,0,0,3,1.0,5,145,15,0,0,1,4.0,12.0,0,0,3.0,4.0,3,0,2,0,2
74,1,2,2,0,7,1.0,6,116,25,0,0,0,2.0,7.0,2,1,0.0,1.0,2,1,3,2,2
75,1,0,0,0,1,2.0,3,123,8,0,2,6,10.0,15.0,0,0,6.0,7.0,3,0,0,0,0
76,1,2,2,0,8,0.0,4,132,9,0,1,2,11.0,18.0,3,3,6.0,6.0,3,4,7,5,5
77,1,0,0,0,5,2.0,2,213,3,1,4,6,20.0,30.0,0,0,13.0,15.0,0,0,0,0,0
78,1,2,1,0,2,0.0,5,176,14,0,0,2,2.0,1.0,3,1,1.0,1.0,2,2,4,2,3
79,1,0,0,0,7,1.0,14,107,2,1,3,9,15.0,29.0,5,4,6.0,10.0,3,7,7,7,7
80,1,12,11,0,6,1.0,9,112,24,0,0,1,8.0,13.0,12,7,5.0,6.0,0,9,14,19,9
81,1,3,2,0,1,0.0,5,101,6,0,3,7,11.0,27.0,3,1,5.0,5.0,3,1,5,1,5
82,1,0,0,0,10,1.0,12,202,2,1,4,5,7.0,13.0,1,1,3.0,3.0,3,2,5,2,3
83,1,6,5,0,11,0.0,26,174,2,1,4,8,7.0,23.0,4,1,5.0,5.0,1,2,4,5,2
84,1,2,1,1,0,20.0,1,130,93,0,0,0,3.0,5.0,8,1,2.0,2.0,0,2,9,3,2
85,1,1,0,1,4,0.0,2,216,8,0,2,9,12.0,21.0,15,3,6.0,7.0,0,3,16,3,3
86,1,1,0,1,5,0.0,4,125,2,1,2,6,6.0,10.0,0,0,4.0,5.0,3,0,0,0,0
87,1,5,1,1,1,1.0,3,325,9,0,1,2,10.0,14.0,17,2,6.0,6.0,0,3,17,3,3
88,1,0,0,0,1,2.0,1,99,23,0,0,1,5.0,7.0,1,1,1.0,1.0,0,2,2,2,2
89,1,1,1,0,2,0.0,3,275,13,0,0,2,8.0,15.0,9,4,3.0,4.0,2,4,14,5,5
90,1,0,0,0,2,1.0,2,139,10,0,3,8,16.0,30.0,0,0,9.0,11.0,3,0,3,0,2
91,1,0,0,1,0,7.0,5,29,6,0,5,9,11.0,14.0,1,0,9.0,9.0,1,0,1,0,0
92,1,0,0,0,9,1.0,4,108,3,1,1,1,3.0,4.0,2,2,1.0,1.0,0,2,2,2,2
93,1,7,6,0,2,0.0,9,121,8,0,5,9,5.0,9.0,2,2,5.0,5.0,2,2,3,5,3
94,1,0,0,0,1,5.0,1,189,13,0,0,2,10.0,20.0,1,0,2.0,2.0,2,0,1,0,1
95,1,8,3,0,3,2.0,1,240,4,0,2,2,6.0,5.0,4,2,0.0,2.0,0,5,6,12,5
96,1,0,0,0,1,2.0,0,42,5,0,3,3,5.0,5.0,0,0,3.0,4.0,0,0,0,0,0
97,1,0,0,0,4,1.0,0,153,13,0,0,3,12.0,22.0,0,0,4.0,9.0,3,0,4,0,3
98,1,4,4,0,5,1.0,10,221,8,0,1,4,7.0,10.0,0,0,2.0,4.0,3,0,2,1,0
99,1,0,0,0,5,0.0,5,197,5,0,2,4,6.0,13.0,3,3,2.0,2.0,2,4,6,4,5
100,1,1,0,0,3,0.0,4,153,4,0,1,4,6.0,10.0,2,1,5.0,6.0,1,2,4,3,2
101,1,2,0,0,1,1.0,9,115,10,0,1,3,3.0,5.0,2,1,2.0,2.0,1,1,4,1,1
102,1,4,4,0,3,2.0,13,150,5,0,2,4,5.0,26.0,2,1,4.0,4.0,3,1,4,4,3
103,1,3,2,1,4,1.0,7,128,17,0,0,1,3.0,3.0,4,1,1.0,2.0,0,1,4,3,1
104,1,2,2,0,3,3.0,10,101,6,0,5,14,5.0,20.0,2,1,5.0,5.0,2,1,2,2,2
105,1,0,0,0,4,0.0,3,127,7,0,4,11,26.0,33.0,0,0,7.0,11.0,3,0,1,0,1
106,1,3,0,1,5,0.0,6,146,5,0,1,3,5.0,6.0,6,1,1.0,4.0,1,1,6,1,1
107,1,3,2,0,4,1.0,12,115,10,0,1,2,3.0,4.0,2,0,1.0,2.0,2,0,2,1,1
108,1,3,3,0,8,1.0,6,158,6,0,3,10,19.0,31.0,1,1,5.0,10.0,0,3,4,4,3
109,1,1,1,0,8,0.0,3,39,2,1,5,8,10.0,9.0,1,0,2.0,3.0,2,0,1,1,1
110,1,2,1,0,0,8.0,3,39,12,0,1,1,1.0,1.0,1,1,1.0,1.0,0,1,1,3,1
111,1,0,0,0,0,12.0,0,552,4,0,2,5,5.0,18.0,1,0,5.0,5.0,2,0,1,0,1
112,1,3,3,0,8,0.0,8,153,9,0,1,2,4.0,12.0,1,0,3.0,3.0,1,0,1,3,0
113,1,3,3,0,3,2.0,7,109,4,0,2,3,5.0,9.0,2,1,2.0,3.0,3,1,1,3,1
114,1,1,1,0,0,10.0,4,21,2,1,4,6,4.0,5.0,0,0,3.0,3.0,0,0,0,0,0
115,1,0,0,0,1,1.0,4,215,7,0,2,4,15.0,21.0,0,0,14.0,14.0,0,0,0,0,0
116,1,3,1,0,1,3.0,6,125,11,0,1,1,2.0,1.0,4,1,0.0,0.0,0,1,4,4,1
117,1,3,0,1,1,5.0,0,122,32,0,0,0,2.0,4.0,7,1,0.0,0.0,0,1,8,1,1
118,1,2,3,0,7,1.0,0,91,8,0,5,6,4.0,8.0,2,0,0.0,2.0,3,0,3,1,2
119,1,6,5,1,7,1.0,10,96,4,0,7,11,8.0,15.0,13,1,6.0,7.0,0,1,13,4,1
120,1,0,0,0,3,1.0,3,109,3,1,1,1,7.0,8.0,3,2,1.0,2.0,2,4,6,4,5
121,1,0,0,0,5,0.0,7,393,13,0,0,2,11.0,36.0,1,1,2.0,4.0,0,1,1,1,1
122,1,0,0,0,3,0.0,3,107,13,0,0,5,14.0,28.0,0,0,10.0,11.0,0,0,0,0,0
123,1,9,5,1,7,0.0,2,246,27,0,0,0,6.0,4.0,15,4,3.0,3.0,3,5,19,8,7
124,1,2,1,1,0,9.0,0,12,12,0,1,1,1.0,1.0,0,0,1.0,1.0,0,0,0,1,0
125,1,0,0,0,2,0.0,9,113,6,0,4,7,23.0,36.0,0,0,12.0,19.0,2,0,1,0,1
126,1,0,0,0,9,1.0,6,282,5,0,4,6,18.0,33.0,3,1,6.0,9.0,3,5,8,5,5
127,1,0,0,0,7,1.0,12,150,1,1,4,9,9.0,18.0,0,0,5.0,5.0,3,1,4,1,1
128,1,0,0,0,0,,0,190,24,0,0,1,11.0,22.0,0,0,5.0,7.0,3,1,5,1,5
129,1,0,0,0,9,1.0,12,270,13,0,0,2,9.0,13.0,1,0,2.0,4.0,3,0,4,0,2
130,1,0,0,0,0,,0,245,27,0,0,0,8.0,7.0,2,1,5.0,5.0,2,4,5,4,5
131,1,0,0,0,1,3.0,0,24,19,0,0,3,3.0,1.0,2,2,3.0,3.0,0,2,2,2,2
132,1,0,0,0,2,2.0,3,72,17,0,0,2,5.0,4.0,1,1,3.0,4.0,2,1,2,1,2
133,1,1,0,1,1,2.0,2,101,5,0,1,2,6.0,6.0,11,4,3.0,4.0,0,4,11,4,4
134,1,3,2,1,5,3.0,5,107,16,0,0,1,2.0,2.0,3,1,1.0,1.0,0,1,3,3,1
135,1,2,2,0,8,1.0,5,171,42,0,0,0,8.0,15.0,4,2,1.0,3.0,3,2,8,4,5
136,1,0,0,0,4,1.0,7,176,4,0,7,17,26.0,40.0,0,0,9.0,9.0,2,0,1,0,1
137,1,5,4,1,8,1.0,2,146,4,0,1,2,4.0,9.0,5,2,2.0,3.0,0,2,7,3,2
138,1,2,2,0,5,1.0,1,44,10,0,1,2,2.0,2.0,1,1,1.0,1.0,0,1,1,1,1
139,1,0,0,0,6,1.0,6,285,3,1,1,3,5.0,10.0,2,1,2.0,2.0,0,1,6,1,1
140,1,0,0,0,3,1.0,4,106,24,0,0,1,4.0,10.0,3,3,0.0,1.0,2,3,4,3,4
141,1,0,0,0,6,1.0,6,329,1,1,6,10,15.0,20.0,2,0,10.0,11.0,2,1,3,1,2
142,1,2,1,0,2,2.0,5,252,11,0,1,1,10.0,7.0,7,3,2.0,5.0,3,7,14,9,9
143,1,0,0,0,0,,0,134,11,0,1,5,8.0,15.0,6,1,4.0,7.0,3,4,11,4,8
144,1,1,1,0,5,1.0,10,86,3,1,1,2,4.0,3.0,1,0,2.0,2.0,3,0,2,1,2
145,1,0,0,0,8,1.0,7,163,5,0,2,2,8.0,15.0,0,0,3.0,5.0,2,0,4,0,1
146,1,0,0,0,1,5.0,1,107,7,0,1,1,8.0,12.0,0,0,5.0,6.0,3,0,0,0,0
147,1,7,4,1,6,2.0,9,140,3,1,2,6,8.0,15.0,0,0,6.0,7.0,1,0,1,2,0
148,1,1,1,0,4,4.0,2,161,6,0,2,4,18.0,29.0,0,0,8.0,13.0,3,0,3,0,2
